Algorithm                   , Input Type, Input Size (N), Average Time (s), Comparisons
Quick Sort (Median of Three), Random    ,           5000,         0.009142,       59490
Quick Sort (Median of Three), Sorted    ,            100,         0.000083,         480
Quick Sort (Median of Three), Sorted    ,           1000,         0.001193,        7987
Quick Sort (Median of Three), Sorted    ,          10000,         0.018142,      113631
Quick Sort (Median of Three), Sorted    ,          20000,         0.036844,      247248
Quick Sort (Median of Three), Sorted    ,           5000,         0.010112,       51822
Quick Sort (Median of Three), Reverse   ,            100,         0.000160,        1302
Quick Sort (Median of Three), Reverse   ,           1000,         0.014615,      125502
Quick Sort (Median of Three), Reverse   ,          10000,         1.321568,    12505002
Quick Sort (Median of Three), Reverse   ,          20000,         5.357587,    50010002
Quick Sort (Median of Three), Reverse   ,           5000,         0.344515,     3127502
Bubble Sort                 , Random    ,          25000,        33.293972,   312484375
Bubble Sort                 , Sorted    ,          25000,        20.741341,   312484375
Bubble Sort                 , Reverse   ,          25000,        42.127272,   312484375
Selection Sort              , Random    ,          25000,        16.960292,   312484375
Selection Sort              , Sorted    ,          25000,        16.493806,   312484375
Selection Sort              , Reverse   ,          25000,        17.422519,   312484375
Insertion Sort              , Random    ,          25000,        17.082883,   154834555
Insertion Sort              , Sorted    ,          25000,         0.003118,       24999
Insertion Sort              , Reverse   ,          25000,        34.466300,   312484375
Merge Sort                  , Random    ,          25000,         0.068131,      333458
Merge Sort                  , Sorted    ,          25000,         0.046530,      177941
Merge Sort                  , Reverse   ,          25000,         0.042623,      189189
Heap Sort                   , Random    ,          25000,         0.112833,      652729
Heap Sort                   , Sorted    ,          25000,         0.121649,      676244
Heap Sort                   , Reverse   ,          25000,         0.100907,      630528
Radix Sort                  , Random    ,          25000,         0.054060,      178943
Radix Sort                  , Sorted    ,          25000,         0.049764,      178943
Radix Sort                  , Reverse   ,          25000,         0.042827,      178943
Quick Sort (Median of Three), Random    ,          25000,         0.060517,      389678
Quick Sort (Median of Three), Sorted    ,          25000,         0.047093,      316024
Quick Sort (Median of Three), Reverse   ,          25000,         8.371230,    78140628
Bubble Sort                 , Random    ,          75000,       299.645747,  2812359375
Bubble Sort                 , Sorted    ,          75000,       186.672066,  2812359375
Bubble Sort                 , Reverse   ,          75000,       379.145447,  2812359375
Selection Sort              , Random    ,          75000,       152.642630,  2812359375
Selection Sort              , Sorted    ,          75000,       148.444256,  2812359375
Selection Sort              , Reverse   ,          75000,       156.802669,  2812359375
Insertion Sort              , Random    ,          75000,       153.745945,  1393510992
Insertion Sort              , Sorted    ,          75000,         0.009352,       74996
Insertion Sort              , Reverse   ,          75000,       310.196700,  2812359375
Merge Sort                  , Random    ,          75000,         0.226568,     1108902
Merge Sort                  , Sorted    ,          75000,         0.154735,      591736
Merge Sort                  , Reverse   ,          75000,         0.141741,      629140
Heap Sort                   , Random    ,          75000,         0.375220,     2170627
Heap Sort                   , Sorted    ,          75000,         0.404540,     2248823
Heap Sort                   , Reverse   ,          75000,         0.335563,     2096796
Radix Sort                  , Random    ,          75000,         0.179774,      595068
Radix Sort                  , Sorted    ,          75000,         0.165489,      595068
Radix Sort                  , Reverse   ,          75000,         0.142421,      595068
Quick Sort (Median of Three), Random    ,          75000,         0.201248,     1295859
Quick Sort (Median of Three), Sorted    ,          75000,         0.156605,     1050925
Quick Sort (Median of Three), Reverse   ,          75000,        75.341067,   703265653
Bubble Sort                 , Random    ,          50000,       133.175887,  1249937500
Bubble Sort                 , Sorted    ,          50000,        82.965362,  1249937500
Bubble Sort                 , Reverse   ,          50000,       168.509087,  1249937500
Selection Sort              , Random    ,          50000,        67.841169,  1249937500
Selection Sort              , Sorted    ,          50000,        65.975225,  1249937500
Selection Sort              , Reverse   ,          50000,        69.690075,  1249937500
Insertion Sort              , Random    ,          50000,        68.331531,   619338219
Insertion Sort              , Sorted    ,          50000,         0.006235,       49998
Insertion Sort              , Reverse   ,          50000,       137.865200,  1249937500
Merge Sort                  , Random    ,          50000,         0.145589,      712565
Merge Sort                  , Sorted    ,          50000,         0.099430,      380241
Merge Sort                  , Reverse   ,          50000,         0.091081,      404277
Heap Sort                   , Random    ,          50000,         0.241111,     1394815
Heap Sort                   , Sorted    ,          50000,         0.259952,     1445062
Heap Sort                   , Reverse   ,          50000,         0.215628,     1347372
Radix Sort                  , Random    ,          50000,         0.115521,      382383
Radix Sort                  , Sorted    ,          50000,         0.106341,      382383
Radix Sort                  , Reverse   ,          50000,         0.091518,      382383
Quick Sort (Median of Three), Random    ,          50000,         0.129319,      832701
Quick Sort (Median of Three), Sorted    ,          50000,         0.100632,      675310
Quick Sort (Median of Three), Reverse   ,          50000,        33.484919,   312562512
Bubble Sort                 , Random    ,         100000,       532.703550,  4999750000
Bubble Sort                 , Sorted    ,         100000,       331.861450,  4999750000
Bubble Sort                 , Reverse   ,         100000,       674.036350,  4999750000
Selection Sort              , Random    ,         100000,       271.364675,  4999750000
Selection Sort              , Sorted    ,         100000,       263.900900,  4999750000
Selection Sort              , Reverse   ,         100000,       278.760300,  4999750000
Insertion Sort              , Random    ,         100000,       273.326125,  2477352875
Insertion Sort              , Sorted    ,         100000,         0.012470,       99995
Insertion Sort              , Reverse   ,         100000,       551.460800,  4999750000
Merge Sort                  , Random    ,         100000,         0.309833,     1516427
Merge Sort                  , Sorted    ,         100000,         0.211600,      809202
Merge Sort                  , Reverse   ,         100000,         0.193831,      860352
Heap Sort                   , Random    ,         100000,         0.513115,     2968341
Heap Sort                   , Sorted    ,         100000,         0.553211,     3075275
Heap Sort                   , Reverse   ,         100000,         0.458884,     2867377
Radix Sort                  , Random    ,         100000,         0.245842,      813759
Radix Sort                  , Sorted    ,         100000,         0.226306,      813759
Radix Sort                  , Reverse   ,         100000,         0.194761,      813759
Quick Sort (Median of Three), Random    ,         100000,         0.275207,     1772093
Quick Sort (Median of Three), Sorted    ,         100000,         0.214158,     1437144
Quick Sort (Median of Three), Reverse   ,         100000,       133.939675,  1250250050
